Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2019-07-02T00:00:00,6151,1,localhost,General Software Development,2
2019-07-02T00:00:00,4057,1,github.com,General Software Development,2
2019-07-02T00:00:00,3591,1,glassdoor.com,Employment,2
2019-07-02T00:00:00,2729,1,google.com,Search,2
2019-07-02T00:00:00,1208,1,Visual Studio Code,Editing & IDEs,2
2019-07-02T00:00:00,1060,1,postman,General Software Development,2
2019-07-02T00:00:00,1058,1,Adobe Reader,General Reference & Learning,2
2019-07-02T00:00:00,937,1,outlook.live.com,Email,1
2019-07-02T00:00:00,920,1,Microsoft Teams,Instant Message,2
2019-07-02T00:00:00,890,1,portal.azure.com,Systems Operations,2
2019-07-02T00:00:00,748,1,secure.bankofamerica.com,Accounting,2
2019-07-02T00:00:00,734,1,who,Science & Technology,-1
2019-07-02T00:00:00,694,1,conemu64,General Software Development,2
2019-07-02T00:00:00,580,1,olui2.fs.ml.com,Accounting,2
2019-07-02T00:00:00,536,1,mint.intuit.com,Accounting,2
2019-07-02T00:00:00,481,1,Windows Explorer,General Utilities,1
2019-07-02T00:00:00,463,1,MS Word,Writing,2
2019-07-02T00:00:00,447,1,localhost:8081,General Software Development,2
2019-07-02T00:00:00,398,1,Calendar,Calendars,2
2019-07-02T00:00:00,395,1,microsoft.sharepoint.com,General Business,2
2019-07-02T00:00:00,371,1,wechat,Instant Message,-1
2019-07-02T00:00:00,353,1,youtube.com,Video,-2
2019-07-02T00:00:00,338,1,stackoverflow.com,General Software Development,2
2019-07-02T00:00:00,291,1,swagger.io,General Software Development,2
2019-07-02T00:00:00,284,1,Mail,Email,2
2019-07-02T00:00:00,253,1,bing.com,Search,2
2019-07-02T00:00:00,253,1,immihelp.com,Legal & Gov't,2
2019-07-02T00:00:00,252,1,microsoft.com,Engineering & Technology,2
2019-07-02T00:00:00,228,1,OneNote,Writing,2
2019-07-02T00:00:00,221,1,MS Outlook,Email,2
2019-07-02T00:00:00,218,1,docs.microsoft.com,General Software Development,2
2019-07-02T00:00:00,195,1,system idle process,Other,0
2019-07-02T00:00:00,189,1,microsoftedge,Browsers,0
2019-07-02T00:00:00,182,1,haoxiongdev.file.core.windows.net,Uncategorized,0
2019-07-02T00:00:00,173,1,jsonformatter.curiousconcept.com,General Software Development,2
2019-07-02T00:00:00,161,1,sports.163.com,General News & Opinion,-2
2019-07-02T00:00:00,147,1,tar,General Business,2
2019-07-02T00:00:00,136,1,uscis.gov,General News & Opinion,2
2019-07-02T00:00:00,134,1,ms.portal.azure.com,Systems Operations,2
2019-07-02T00:00:00,131,1,chooseyourwaybellevue.icarpool.com,Uncategorized,0
2019-07-02T00:00:00,122,1,163.com,General News & Opinion,-2
